natural_command,bash_command
"Find all ""YourProgramName"" regular files in the current directory tree and print the full paths to the directories containing them",find . -type f -name YourProgramName -execdir pwd \;
"Find all files under current directory whose status was changed less than 3 days ago, sort them and show last 5 lines of output with only their paths","find . -type f -ctime -3 -printf ""%C@ %p\n"" | sort | tail -n 5 | sed 's/[^ ]* \/\1/'"
"find all files under the current directory that end in ""foo"" and execute somecommand on each quoted filename","find . -name ""*.foo"" -exec somecommand ""{}"" \;"
Find all broken symlinks under /path/to/search directory,find /path/to/search -xtype l
find all the files in the current folder which do not have the execute permission,find . -type d ! -perm -111
Find all *.zip files under current directory and unzip them in the same directory as the files,find . -name '*.zip' -exec sh -c 'unzip -d `dirname {}` {}' ';'
Find all regular files with permissions 777 under and below /home/user/demo/,find /home/user/demo -type f -perm 777 -print
Find all files under current directory that are read less than 1 minute ago,find . -amin -1
"Find command will list of all files & directories from current directory , before listing echo command will display ' List of files & Directory '",find . -exec echo ' List of files & Direcoty'   {} \;
"delete all the files in the current folder which end with "".bak"" or "".backup"" and which have not been accessed in the last 30 days",find .  -type f -atime +30 -exec rm '{}' ;
Create tar.gz files older than one day logs,find /home/testuser/log/ -mtime +1 | xargs  tar -czvPf  /opt/older_log_$(date +%F).tar.gz
"find all the directories with the name ""uploads"" in current folder",find . -type d -name 'uploads'
"search the word ""MySearchStr"" in all the regular/normal files in the current folder and display the line number and the file name",find . -type f -print0 | xargs -0 -e grep -nH -e MySearchStr
find all the mp3 files in the current folder and move them to another folder,"find . -name ""*.mp3"" -exec mv {} ""/Users/sir/Music//iTunes/iTunes Media/Automatically Add to iTunes.localized/"" \;"
"Copies all files like ""*FooBar*"" under the current directory to the '~/foobar' directory.",find . -name '*FooBar*' -exec cp -t ~/foobar -- {} +
Return a list of files newer than file poop,find . -mnewer poop
display all the directories in the current folder which start with processor followed by digit and ends with .1 or .2,find . -type d -regextype posix-egrep -regex '\./processor[0-9]*/10\.'
Find all executable symlinks or upvoter-* files under maximum 1 level down the {} directory,find {} -name 'upvoter-*' -type f -or -type l -maxdepth 1 -perm +111
Find all *.mov  files under current directory and run an ffmpeg command with the path and the name for each file,"find . -iname ""*.mov"" -printf ""%p %f\n"" | xargs -r -n2 ffmpeg -f flv -i"
Find all the files whose name is tecmint.txt,find . -name tecmint.txt
Change permissions to 755 for all subdirectories of the current directory,"find . -type d -print | sed -e 's/^/""/' -e 's/$/""/' | xargs chmod 755"
"Locate all files in the current directory and below that have ""testfile"" in their names regardless of the case","find -iname ""*TESTFILE*"""
"Finds all the log* files in /myDir recursively that are more than 7 days older, skipping already created .bz2 archives and compresses them.",find /myDir -name 'log*' -and -not -name '*.bz2' -ctime +7 -exec bzip2 -zv {} \;
"Find all *.mp3, *.aif*, *.m4p, *.wav, *.flac files under $musicdir directory","find ""$musicdir"" -type f -print | egrep -i '\.(mp3|aif*|m4p|wav|flac)$'"
"search for the file, filename.txt in the current folder",find . -name filename.txt
"Find all files named ""file.ext"" in the current directory tree and print the path names of the directories they are in",find `pwd` -name file.ext |xargs -l1 dirname
find all the files from root folder which have nogroup or noname and dispaly their details.,find / \( -nogroup -o -noname \) -ls
"Find all *.txt files under current directory, change their permission to 666 and copy them to /dst/ directory",find . -name \*.txt -exec chmod 666 {} \; -exec cp {} /dst/ \;
display all the directories in the current folder excluding those that are present in the folder secret,find . -name secret -type d -prune -o -print
Recursively finds all *.dbf files from the root folder and prints list of folders with such files.,"find / -name ""*.dbf""  -exec dirname {} \; 2> /dev/null | sort -u"
display a long list of all regular/normal files in the file system which belong to the root and with suid bit set,find / -type f -user root -perm -4000 -exec ls -l {} \;
"Search the current directory tree for files whose names do not end in ""1"" and ""2""","find . -type f ! -name ""*1"" ! -name ""*2"" -print"
List the largest file in long list format of all the files under the current directory,find . -type f -ls | sort -nrk7 | head -1 #unformatted
Delete files containing whitespaces without recursion,"find . -name '*[+{;""\\=?~<>&*|$ ]*' -maxdepth 0 -exec rm -f '{}' \;"
Find *.avi and *.flv files in /path/to/your/directory and below and copy them to /path/to/specific/folder,find /path/to/your/directory -regex '.*\.\' -exec cp {} /path/to/specific/folder \;
Find all regular files named 'Waldo' under 'Books' directory tree that is located in user's home directory,find ~/Books -type f -name Waldo
Find all directories under current directory and set their permission to 775,find -type d exec chmod 775 {} +
Find all files in the current directory tree that match pattern 'a(b*',find . -name 'a(b*' -print
find all the files which have the write permission to the group and remove the write permission.,find . -perm -20 -exec chmod g-w {} ;
Find all *.dbf files/directories in entire file system,"find / -name ""*.dbf"""
create a backup of all the files which have been modified in the last 48 hours,find source/directory -ctime -2 | cpio -pvdm /my/dest/directory
Search the system for the file “testfile.txt” ignoring the case,"find / -iname ""testfile.txt"""
Print a list of all files and directories in the /var/log directory tree,find /var/log/
display all the regular/normal files in a folder,find ./subdirectory/ -type f
Delete all files in the /myDir directory tree that were last modfied more than 7 days ago,find /myDir -mindepth 1 -mtime +7 -delete
"Delete files in the DIR directory tree whose names begin with ""2015"" and contain ""album"" or ""picture""",find DIR \( -name 2015\* -a \( -name \*album\* -o -name \*picture\* \) \) -delete
display all files in the current folder which start with met,find -name met*
find for a word in all the regular files in the current directory,find . -type f -exec grep -li '/bin/ksh' {} \;
Move all Emacs backup files from the current directory tree to ~/backups/,find . -name '*~' -print 0 | xargs -0 -I % cp % ~/backups
Find a directory named 'project.images' case insensitively in the entire filesystem and show it in long listing format,"find  / -type d -iname ""project.images"" -ls"
Delete all directories in the /myDir directory tree,find /myDir -type d -delete
Find all directories in the /data1/realtime directory tree that were modified within the last 60 minutes,find /data1/realtime -mmin -60 -type d
find all the html files in the current folder which have been modified exactly 7 days ago,"find . -mtime 7 -name ""*.html"" -print"
search for files starting with memo and which belong to the user ann in the folder /work,find /work -name 'memo*' -user ann -print
"search for a files ""cart1"" in the folder junk which is in home folder and move the folder to ~/junk/A.",find ~/junk  -name 'cart1' -exec mv {} ~/junk/A \;
display all the files in the file system which have been modified in the last 10 minutes,find / -mmin -10
Create a script to monitor system file changes in critical directories and send an alert if any changes are detected.,"#!/bin/bash

critical_dirs=""/etc /var/www""

for dir in $critical_dirs; do
    changes=$(find $dir -cmin -60)
    if [ -n ""$changes"" ]; then
        echo ""File changes detected in directory $dir."" | mail -s ""File Change Alert"" user@example.com
    fi

done"
Find all files/directories named 'file' and print them with null character as the delimiter instead of newline,find -name file -print0
Find all files/directories named orm.properties under current directory,"find . -name ""orm.properties"""
Find files that were modified more than 7 days ago and archive them,find . -type f -mtime +7 | xargs tar -cvf `date '+%d%m%Y'_archive.tar`
Remove trailing whitespaces in .txt files from the current directory tree,"find . -type f -name ""*.txt"" -exec sh -c 'for i;do sed 's/[[:space:]]*$//' ""$i"">/tmp/.$$ && cat /tmp/.$$ > ""$i"";done' arg0 {} +"
display a long listing of all the files in the current folder that have been accessed in today from the start of the day,find -daystart   -atime 0 -ls
"display all the C files or Python files in the folder ""euler""","find euler/ -iname ""*.c*"" -exec echo {} \; -or -iname ""*.py"" -exec echo {} \;"
"Find all files matching ""abc*"" in the current directory and append ""\tok""",find . -name 'abc*' | sed 's/$/\tok/' | column -t
Count and show the number of lines for each PHP files in the current directory tree,find . -name '*.php' | xargs wc -l
"change the permissions of all the regular/normal files in the folder ""/path/to/someDirectory"" to 644",sudo find /path/to/someDirectory -type f -print0 | xargs -0 sudo chmod 644
Find all files/directories under /export/home/someone directory in a remote host  and upload the files/directories to ftp://somehost/tmp/,"ssh someone@somehost 'cd /export/home/someone && find . -name ""*"" -print| '"
find all files that do not have execute permission to all,find . -type d ! -perm -111
display the count of number of files in the current folder,find | wc -l
"Find all files under the current directory and copy their permissions to the same file in ""../version1""",find . -type f | xargs -I {} chmod --reference {} ../version1/{}
Delete all regular files that have not been modified in the last 60 weeks under $DIR directory tree,find $DIR -type f -mtime +60w -exec rm {} \;
Print the path names of all .png files in the /home/kibab directory tree,find /home/kibab -name '*.png' -exec echo '{}' ';'
Find all files residing in /home/dm/Video or below that were changed less than 7 days ago,find /home/dm/Video -mtime -7
Find all regular files named postgis-2.0.0 under your home directory,"find ~/ -type f -name ""postgis-2.0.0"""
Find all *-* files under current directory,find . -type f -name '*-*'
display all the directories in the current folder,find . -type d -print
display the name and size of all the regular/normal files  in the current folder which are bigger than 50MB,"find . -type f -size +50000k -exec ls -lh {} \; | awk '{ print $9 "": "" $5 }'"
Print all the file/directory paths under current directory,find | xargs
Find all files on smbfs mounts and print its information and file type,find $(mount -t smbfs | awk '{print $3}') -mount -type f -ls -execdir file {} \;
"Find recursively all files that match ""pattern"" starting from the directory ""dir""","find dir -name ""pattern"" 2>/dev/null"
Find all regular files under and below dir/ and change their names from UTF8 to the ASCII/TRANSLIT encoding,find dir/ -type f -exec mv {} $ \;
Remove all .tmp files in and below /tmp,"find /tmp -name ""*.tmp"" | xargs rm"
Remove all tmp/*.mp3 files,find tmp -maxdepth 1 -name *.mp3 -print0 | xargs -0 rm
"Find all files starting from / whose names end with "".rpm"" and change their permissions to 755",find / -name *.rpm -exec chmod 755 '{}' \;
"search for all the files in current folder which start with ""file2015-0"" and move them to another folder","find . -name ""file2015-0*"" -exec mv {} .. \;"
Find all *.html files under current directory and for each file replace the first occurrence of STRING and previous lines with the content of common_header file,"find . -type f -name '*.html' -exec sed -i -e '1r common_header' -e '1,/STRING/d' {} \;"
Search for files/directories with the case insensitive pattern anaconda.* in var/log directory and create an archive (file.tar) of the last file found,find var/log/ -iname anaconda.* -exec tar -cvf file.tar {} \;
"Search the current directory tree for *.wav files that have ""export"" in their pathnames","find -type f -name ""*.wav"" | grep export"
search for a file in the current folder and prepend the first line,find ./ -name somename.txt -exec sed -e '1i My new text here` {} \;
find all the files in the current folder which do not belong to any user,find . -nouser -ls
"find all the files ending with "".coffee"" in the current folder and search for the words ""re"" in each line",find . -name \*.coffee -exec grep -m1 -i 're' {} \;
Search the current directory and directories below for .sql files,find . -name \*.sql
Find all or single file called tecmint.txt under the / directory of owner root,find / -user root -name tecmint.txt
delete all text files from current folder,"find . -type f ! -iname ""*.txt"" -delete"
Count the number of regular files with case insensitive name pattern $srchfor under 'teste2' directory tree,"find teste2 -type f -iname ""$srchfor""|wc -l"
display all files in the current folder,find . -print
find all the text files in the file system and search only in the disk partition of the root.,"find / -xdev -name ""*.txt"""
"Remove all directories called ""test"" from the /path/to/dir directory tree","find /path/to/dir -name ""test"" -type d -delete"
display all the files along with their group name in the folder /home which do not belong to the group test,"find /home ! -group test -printf ""%p:%g\n"""
Find and list all files on your current directory and show a few lines of output from the beginning,find | head
Show the explanation of find's debugging options,find -D help
Assign the alias rm2g to a find command that removes any .tar file larger than 2 gigabytes.,"alias rm2g=""find / -type f -name *.tar -size +2G -exec rm -i {} \;"""
"Search the /Path directory tree for files matching pattern ""file_name*"" and containing ""bar"" in their pathnames","find /Path -name ""file_name*"" | grep ""bar"""
Find all files/directories named 'com.apple.syncedpreferences.plist'  under ~/Library directory tree,"find ~/Library/ -iname ""com.apple.syncedpreferences.plist"""
show all regular/normal the files in the current folder whose size is bigger than 0 bytes excluding everything,find * -prune -type f -size +0c -print
Find all empty files in /tmp,find /tmp -type f -empty
find all the log files in the file system which are present in the current partition,"find / -xdev -name ""*.log"""
Find all files in entire file system which are larger than 20000KB,find / -type f -size +20000k
"display all the files in the folder ""/Users/Me/Desktop"" which belong to the user ""popo"" and which have the permission 777",find /Users/Me/Desktop -user popo -perm 777
"find all the files ending with "".foo"" in the folder /usr",find /usr -name '*.foo' -print
Find all *.md files in entire file system and convert them to HTML  files,"find / -name ""*.md"" -type f -exec markdown -o {}.html {} \;"
find all the video files in the home folder,find ~ -type f -exec file -i {} + | grep video
Find all MP3s in the /home directory tree,find /home -type f -name '*.mp3'
Count total number of lines in all *.txt file in cuuent directory .,find .  -type f  -name '*.txt' -exec wc -l {} \; | awk '{total += $1} END{print total}'
Find all files larger than 100M and delete them,find / -size +100M -exec rm -rf {} \;
Find x* files/directories under /tmp directory whose status was changed less than 1 day ago and move them to ~/play,"find /tmp/ -ctime -1 -name ""x*"" -exec mv '{}' ~/play/"
Search for all files not newer than file /tmp/t,find / -not -newer /tmp/t
find all files in the file system which belong to no user or which have no user,find / -nouser
"Search all files called ""abc"" that reside in the current directory tree for string ""xyz""",find . -name abc | xargs grep xyz
find all the files in the current folder which end with .o or with the name a.out and display them.,find . ( -name a.out -o -name *.o ) -print
search for a word in all the fies in the current folder,find . -type f -exec grep some_string {} \;
Prints ten latest modified files within the current directory.,"find . -type f -printf '%T@ %p\n' | sort -n -r | head -${numl} |  cut -f2- -d"" "" | sed -e 's,^\./,,' | xargs ls -U -l"
Find files in the current directory tree whose size is greater than 24000 bytes,find . -size +24000c
Find *.java files in the current directory and replace foo with bar in those files,"find . -name ""*.java"" -exec sed -i '' s/foo/bar/g \;"
Move *wp-admin/index.php files under /var/www/  to ./index_disabled,find /var/www/ -path '*wp-admin/index.php' -exec mv {} $/index_disabled
Check if a specific file exists and has been modified in the last 3 days.,"#!/bin/bash

file=""/path/to/file""

if [ -e ""$file"" ] && [ $(find ""$file"" -mtime -3 | wc -l) -gt 0 ]; then
    echo ""$file has been modified in the last 3 days""
else
    echo ""$file does not exist or has not been modified in the last 3 days""
fi"
"find all "".flac"" files starting with ""cmn-"" and search for files having CJK characters using unicodes",find . -name 'cmn-*\.flac' -print | grep -P './cmn-[\x4e00-\x9fa5]\.flac'
Copy all regular files from the current directory tree to directory `TARGET',find . -type f -exec cp -t TARGET {} \+
Set permissions to 500 for directories under the current directory,find . -type d -exec chmod 500 {} \;
find all files that names are game,find / -name game
find all PDFs owned by user “seamstress”,find / -user seamstress -iname “*.pdf”
Remove trailing white spaces from all *.rb files under current directory,find . -name '*.rb' | xargs -I{} sed -i '' 's/[[:space:]]*$//g' {}
Find all files/directories with 644 permission in entire file system,find / -perm 644
"Removes resursively all files and folders named ""Thumbs.db"", ignoring case distincts.","find . -iname ""Thumbs.db"" -print0 | xargs -0 rm -rf"
display all executable files in the folder /home,find /home -perm /a=x
Find all regular .mp3 files larger than 10M and delete them,find / -type f -name *.mp3 -size +10M -exec rm {} \;
"Copy all files and directories under the current directory into ""../new"" preserving relative paths",find -print0 | sort -z | cpio -pdv0 ../new
Delete all __temp__* directories under maximum 1 level down the current directory tree,find . -maxdepth 1 -type d -name '__temp__*' -print0 | xargs -0 rm -rf
"Find files that end in "".gz"" and execute ""awk -F, '$1 ~ /F$/'"" on their unzipped contents","find . -maxdepth 1 -name \*.gz -print0 | xargs -0 zcat | awk -F, '$1 ~ /F$/'"
find all the directories in the current folder excluding search in the sub directories and create these directories in another path,find . -maxdepth 1 -type d | xargs -I X mkdir '/new/directory/X'
Copies all files under the current directory like any-cased '*foobar*' to the '~/foo/bar' directory.,"find . -iname ""*foobar*"" -exec cp ""{}"" ~/foo/bar \;"
Search non-recursively directory tree `MyApp.app' for directories whose name is 'Headers' and delete them in an optimized way,find MyApp.app -name Headers -type d -prune -exec rm -rf {} +
remote copy all text files from one location to another,find .  -name '*.txt' -exec rsync -R {} path/to/dext \;
Find all *.gz files in the current directory and decompress them using gunzip,find . -name '*.gz' -print0 | xargs -0 gunzip
find files in /dir/path/look/up directory that names are dir-name-here,"find /dir/path/look/up -name ""dir-name-here"" -print"
find symbolic links with pattern` '*sysdep.c',find . -lname '*sysdep.c'
"Search the current directory tree for files whose names end in ""rb"" or ""js""","find . -regextype posix-egrep -regex "".*$"""
List all files and directories residing in the current directory and below,find -print0 | xargs -0 ls
find all the php files,find -name '*.php'
search for text files in the folders /home/hobbes/ /home/calvin/,find /home/hobbes/ /home/calvin/ -name “*.txt”
Change the permission of all regular files under current directory tree to 644,find . -type f -exec chmod 644 {} \;
Find List of directory  with non-zero file count,"find -maxdepth 1 -type d | sort | while read -r dir; do n=$; if [ $n -gt 0 ]; then printf ""%4d : %s\n"" $n ""$dir""; fi; done"
"Find all files in /home/kos and below whose names end in "".tmp""",find /home/kos -name *.tmp -print
Give all files in the /path/to/base/dir tree read privileges,find /path/to/base/dir -type f -exec chmod 644 {} +
display a long listing of all regular files  in current folder which have been modified in the last 60 minutes,find . -mmin -60 -type f -ls
"Remove all files from the system whose path names contain ""GUI""",find / -type f -print0 | xargs -0 grep -liwZ GUI | xargs -0 rm -f
Print the empty directories and files under current directory,find -empty
"Search the current directory tree for files whose names match regular expression '.*packet.*', ignoring the case","find . -iregex "".*packet.*"""
Compress regular files in the current directory tree that were last modified more than 7 days ago,find . -type f  -mtime +7 | tee compressedP.list | xargs compress
Search directory tree `MyApp.app' for directories whose name is 'Headers' and delete them,"find -d MyApp.app -name Headers -type d -exec rm -rf ""{}"" \;"
Find text files modified less than 5 days ago,"find . –name ""*.txt"" –mtime 5"
Find all files/directories under current directory tree that belong to the user 'tom',find ./ -user tom
Print the names of the directories from the paths expanded by the glob pattern /path/to/directory/*,find /path/to/directory/* -maxdepth 0 -type d -exec basename -a {} +
Delete and count files in $DIR_TO_CLEAN that are older than $DAYS_TO_SAVE days,"find ""$DIR_TO_CLEAN"" -type -f -mtime ""+$DAYS_TO_SAVE"" -exec rm {} \; -exec printf '.' \; | wc -c"
"Search for all files with either ""sitesearch"" or ""demo"" in their path names",find . | grep -i demo | grep -i sitesearch
List all hidden regular files from the current directory separating them with zeroes,find . -maxdepth 1 -type f -name '.*' -printf '%f\0'
Find all *.rb (regular) files under current directory and count their line numbers,"find . -name ""*.rb"" -type f | xargs wc -l"
"find StringBuffer in all *.java files, ignoring case","find . -type f -name ""*.java"" -exec grep -il string {} \;"
Print '-okdir is an action so an implicit -print is not applied' for each file/directory found by the name 'file' under current directory tree,find -name file -okdir echo '-okdir is an action so an implicit -print is not applied' \;
Move all *foo*  directories under current directory to new paths obtained by replacing all occurrences of 'foo'  with 'Bar' in their paths,"find . -type d -iname '*foo*' -exec bash -O nocasematch -c '[[ $1 =~  ]] && mv ""$1"" ""${1//${BASH_REMATCH[1]}/Bar}""' -- {} \;"
Find all l files in the 'foo' folder but ones with name like '*Music*' to the 'bar' folder.,find foo -type f ! -name '*Music*' -exec cp {} bar \;
"Recursively removes all files with name like ""*.war"" in  /home/ubuntu/wars folder.","find /home/ubuntu/wars -type f -name ""*.war"" -exec rm {} \\;"
Delete all directories in the /myDir directory tree,find /myDir -type d -delete
List  the file under the current directory that has the oldest modification time,find . -type f -ls | sort +7 | head -1
Search for 'some string' in all *js files under current directory and show the matched lines with line numbers,find . -name '*js' | grep -n  'some string'
Find files that were modified less than 7 days ago and archive them,find . -type f -mtime -7 | xargs tar -cvf `date '+%d%m%Y'_archive.tar`
search for text files in the current folder which do not have write access to others,find . -type f \
display all the files in the current folder which have been modified in the last 24 hours excluding all directories,find . \( -type d ! -name . -prune \) -o \( -mtime -1 -print \)
"Make directories in ""/TARGET_FOLDER_ROOT/"" for each "".mov"" file in the current directory tree","find . -type f -iname \*.mov -printf '%h\n' | sort | uniq | xargs -n 1 -d '\n' -I '{}' mkdir -vp ""/TARGET_FOLDER_ROOT/{}"""
Change permissions to 644 for all regular files under the /path/to/dir/ tree unless these permissions are already set,find /path/to/dir/ -type f ! -perm 0644 -print0 | xargs -0 chmod 644
Delete all regular files with '.cache' extension that were accessed more than 30 days ago under $HOME/Library/Safari/Icons directory tree,"find $HOME/Library/Safari/Icons -type f -atime +30 -name ""*.cache"" -print -delete"
Update timestamps of all files and directories under directory /path/to/dir.,find /path/to/dir -print0 | xargs -0 touch
Search the current directory tree for all image files,"find . -type f -regex "".*\.\"""
"Search the current directory tree for files named ""accepted_hits.bam""","find `pwd` -name ""accepted_hits.bam"""
Show the list of directories in the /mnt/raid directory tree,find /mnt/raid -type d -print
"Search the /root directory recursively for the regular file named ""myfile"" ignoring /root/work/",find /root/ -path '/root/work' -prune -o -name myfile -type f -print
Remove files that are greater than 1MB in size under <directory>,find <directory> -type f -size +1M -delete
change the owner and group of all the directories in the current folder and /home/admin/data/ to admin & admin,find . /home/admin/data/ -type d -exec chown admin.admin {} \;
find all the files that are modified in the last 1 day,find -mtime +0 -mtime -1
Save a list of all the files/directories under current directory tree to a file named 'foo',find . -fprint foo
Find all *.tex files/directories in maximum 2 levels down the current directory,find . -maxdepth 2 -name '*.tex'
change the permissions of all the directories in the current folder,chmod 751 `find ./ -type d -print`
find all the files in the file system which have been changed in the last 24 hours.,find / -ctime -1
find all text files in current folder and trim the extra spaces in all lines in these files,find . -type f -name '*.txt' -exec sed --in-place 's/[[:space:]]\+$//' {} \+
Delete the text matched by the regex '<script>if(window.*<\/script>' in all index.html files under current directory,find index.html | xargs -rt sed -i 's/<script>if(window.*<\/script>//g'
"List files named ""accepted_hits.bam"" in the current directory tree prefixing their names with ""somecommand""","find `pwd` -name ""accepted_hits.bam"" | xargs -i echo somecommand {}"
display all regular/normal files in the current folder that were accessed exactly 7*24 hours back,find . -type f -atime 7
Find directories named `doc' in /usr and below,find /usr \( -name doc -and -type d \)
Remove all files with the .c extension in the current directory tree,"find . -name ""*.c"" | xargs rm -rf"
Remove all files under /home/user/Maildir/.SPAM/cur,find /home/user/Maildir/.SPAM/cur -type f | xargs rm
Display all the files/directories under '/home/bozo/projects' directory tree that have been modified within the last day,find /home/bozo/projects -mtime -1
Delete all regular files with '.txt' extension that were modified in more than 25 minutes ago in maximum 1 level down the directory '/home/u20806/public_html',"find /home/u20806/public_html -maxdepth 1 -mmin +25 -type f -name ""*.txt"" -delete"
Find all files/directories not with the name 'query_to_avoid' under current directory,"find \! -name ""query_to_avoid"""
"Unset the executable bit of all regular files from directory trees arch, etc, lib, module, usr, xpic",find arch etc lib module usr xpic -type f | xargs chmod -x
Display a long listing of all the regular files owned by the user 'bluher' in the entire filesystem,find / -type f -user bluher -exec ls -ls {}  \;
Find all files under current directory and search for 'something' in those files,find . -print | xargs grep something
Find all files/directories with '.err' extension under '/home/username' directory tree,"find /home/username/ -name ""*.err"""
"Search all files in the current directory tree whose names end in ""1"" for string ""1""","find . -name ""*1"" -print0 |xargs -0 grep ""1"""
"Copy an entire file structure, creating empty files in the copy instead of copying the actual files.",find src/ -type d -exec mkdir -p dest/{} \; -o -type f -exec touch dest/{} \;
list all files under $dir directory except path $dir/prune_me directory,"find ""$dir"" -not -path ""$dir/prune_me*"" -exec bash -c 'echo ""$0""' {} \;"
Search for files/directories which are writable by either their owner or their group,"find . -perm /u+w,g+w"
find all the xml files in the current folder which are present in the pattern text file,"find . -name ""*.xml"" -exec grep -HFf < {} \;"
Print the number of lines for each *.txt file from the $DIR directory tree,"find $DIR -name ""*.txt"" -exec wc -l {} \;"
Remove all files under /home/user/Maildir/.SPAM/cur,find /home/user/Maildir/.SPAM/cur -type f -exec rm -f '{}' '+'
Print the path names of all files and directories in the current directory tree,"find -printf '""%h/%f"" '"
Print the list of all regular files in the current directory and below,find . -type f
Find files/directories named blah under current directory,find ./ -name blah
"change the permissions of all the directories in the folder ""/path/to/someDirectory"" to 755",sudo find /path/to/someDirectory -type d -print0 | xargs -0 sudo chmod 755
Change permission to 755 of all files/directories under current directory tree that have 777 permission,find -perm 777 | xargs -I@ sudo chmod 755 '@'
Change the ownership of all files in the current directory tree from root to www-data,find -user root -exec chown www-data {} \;
search for all mp3 files in the folder /home/you which have been accessed exactly 10*24 hours ago,"find /home/you -iname ""*.mp3"" -atime 10 -type -f"
"Delete all empty files and directories in the ""test"" directory tree",find test -depth -empty -delete
Find all *.axvw files/directories under current directory,find . -name '*.axvw'
"List the files from the current directory tree that contain lines matching regular expression '^From:.*unique sender', ignoring ~/src and ~/bin",find . -name bin -prune -o -name src -prune -o -type f -print | xargs egrep -il '^From:.*unique sender'
Search /usr/bin for regular files that were last accessed more than 100 days ago,find /usr/bin -type f -atime +100
Search for the pattern 'search string' in all the files in the ''/tmp folder and display the matched lines along with the file names,find /tmp -type f -exec grep 'search string' '{}' /dev/null \+
Find all *.php  files and *.js files/directories  under /home/jul/here excluding *.js files/directories under /home/jul/here/exclude/* paths,"find /home/jul/here -type f -iname ""*.php"" -o -iname ""*.js"" ! -path ""/home/jul/here/exclude/*"""
Show the list of files that are not owned by user wnj or are not newer than file `ttt',find / \! \ -print
find all the files which have the write permission to the group and remove the write permission.,find . -perm -20 -exec chmod g-w {} ;
Move all *.data files/directories in $S directory to $S/data/ directory,"find ""${S}"" -name '*.data' -exec mv '{}' ""${S}/data/"" \;"
Search the current directory tree for all .java files newer than the file build.xml,find . -name '*.java' -newer build.xml -print
"Find all files under current directory whose file type description contains ""image"", display the paths to files and file type descriptions.",find . -name '*' -exec file {} \; | grep -o -P '^.+: \w+ image'
Find all files under /home/username/public_html/modules  and set their permission to 640,find /home/username/public_html/modules -type f -exec chmod 640 {} +
delete all files in the home directory which ahve the name core in them,find ~/ -name 'core*' -exec rm {} \;
"Search the regular files of the current directory tree for string ""foo""","find . -type f -exec grep ""foo"" '{}' \;"
Replace all occurrences of 'previousword' with 'newword' in all regular files with '.cpp' extension under '/home/www' directory tree and modify them in-place,find /home/www -type f -name '*.cpp'  -exec sed -i 's/previousword/newword/g' '{}' \;
Find all Name* files under ../../$name-module and rename them by replacing 'Name' with $Name  in their names,"find ../../$name-module -name 'Name*' -type f -exec bash -c ""mv \""\$1\"" \""\${1/Name/$Name}\"""" -- {} \;"
"Find all directories named ""0"" in the current directory tree and create a tar archive of their RS* subdirectories","find . -type d -name ""0"" -execdir tar -cvf filename.tar RS* \;"
Perform case-insensitive search for file `TeSt123.txt' on the system,find / -iname TeSt123.txt
Find all files under /home/username/public_html/sites/all/themes and set their permission to 640,find /home/username/public_html/sites/all/themes -type f -exec chmod 640 {} +
Delete all 1US* (case insensitive) files under current directory,"find . -iname ""1US*"" -exec rm {} \;"
Rename all files and directories under current directory tree by converting the names to small letters without descending into 'CVS' directory,find . -name CVS -prune -o -exec mv '{}' `echo {} | tr '[A-Z]' '[a-z]'` \; -print
Find all the files which are accessed 50 days back,find / -atime 50
Change permissions to 644 for all directories under and below /path/to/someDirectory/,find /path/to/someDirectory -type d -print0 | xargs -0 sudo chmod 755
"Show all files in user's home directory that have read, write and execute permissions set for user, group and others.",find ~ -perm 777
Delete in the background all files in /var/tmp/stuff1 and below that have not been modified in over 90 days,find /var/tmp/stuff1 -mtime +90 -delete &
Find all files on the system whose names are 'composer.json',find / -name composer.json
"Find all *.py files under and below the current directory and search them for ""xrange""",find . -name '*.py' -exec grep --color 'xrange' {} +
find all the files in current folder which have spaces and save the long listing of these files to log file before deleting them,"find . -name ""filename including space"" -print0 | xargs -0 -I '{}' sh -c 'ls -aldF {} >> log.txt; rm -rdf {}'"
display all the empty files in the entire file system,find / -size 0 -print
Look for *.jpg files on the system,find / -name “*.jpg”
Prints last modified file in a current folder with modification time.,"find . -type f | sed 's/.*/""&""/' | xargs ls -E | awk '{ print $6,"" "",$7 }' | sort | tail -1"
Search the home directory tree for video files,find ~ -type f -regex '.*\.\(mkv\|mp4\|wmv\|flv\|webm\|mov\)'
Print the list of files and directories of the /etc directory,find /etc   ! -name /etc
search for all the files in the folder /data/images which have been modified after /tmp/start and before /tmp/end and save the output list to output.txt,find /data/images -type f -newer /tmp/start -not -newer /tmp/end > output.txt
Find files with size more than 200557600B and which are more than 2 days old under  ${userdir}/${i}/incoming directory and remove them,find ${userdir}/${i}/incoming -mtime +2 -type f -size +200557600c -exec rm {} \;
find all the mp3 files in the entire file system whose size is bigger than 10MB,find / -type f -name *.mp3 -size +10M -exec rm {} \;
Search for 'pattern_to_search' in all regular files with '.txt' extension under '/directory/containing/files' and show the matched lines along with filenames,"find /directory/containing/files -type f -name ""*.txt"" -exec grep -H 'pattern_to_search' {} +"
"search for files named ""WSFY321.c"" in a case-insensitive manner","find . -iname ""WSFY321.c"""
change the permissions of all the directories  to 775 in the current folder,find . -type d -exec chmod 775 {} \;
