bash_code,nl_command,srno
"find  / -type d -iname ""apt""",find not case sensitive all directories that names are 'apt',7893
find . -atime +1 -type f -exec mv {} TMP \;,find all the files in the current directory which have been accessed in the last 1 day and move them to TMP folder.,3150
"find /home/foo -name ""*.gz""",find all gzip files in a folder,12007
find . -name \? -daystart -mtime +0 -mtime -3,find all the files in the current folder that have a single letter in their name which have been modified in the last 3 days but not today,17265
"find . -name ""*.java"" -exec grep -Hin TODO {} \;",Search the .java files from the current directory tree for TODO lines,13440
find . -name '*FooBar*' -exec cp -t ~/foobar -- {} +,"Copies all files like ""*FooBar*"" under the current directory to the '~/foobar' directory.",1468
find -ls,List all files/directories under current directory,8155
"cal -h | sed ""s/$/""$'\033\[94m&\033\[0m/g'",Highlights current day in a month calendar with color.,21048
chown amzadm.root -R /usr/lib/python2.6/site-packages/awscli/,"Recursively change owner to ""amzadm"" and group to ""root"" of all files in ""/usr/lib/python2.6/site-packages/awscli/""",13834
find $some_directory '.*' -delete,Delete all hidden files/directories under $some_directory including $some_directory,12154
find . -type f | xargs grep 'string_to_find' -sl | xargs perl -pi -w -e 's/string_to_find//g;',Delete 'string_to_find' from all files under current directory,16837
"#!/bin/bash

grep 'Failed password' /var/log/auth.log | awk '{print $9}' | sort | uniq -c",Monitor failed login attempts and display the count for each user.,22706
find /home/bozo/projects -mtime 1,List all files in /home/bozo/projects directory tree that were modified exactly one day ago.,4138
join -t $'\t' file1 file2,"Run 'join' on file1 and file2, using a literal tab character as field separator.",20427
find /path -perm /011,Find all files under /path and below executable by `group' or `other',4151
cat ips | xargs -n1 echo ping -c 2,"Print ""echo ping -c 2"" on each string in file 'ips'",6469
date -d @1267619929,Format time string @1267619929 according to default time format,14018
find / -user 999 -exec chown NEWUSER {} \;,change the owner of all the files in the file system which belong to the user with the uid 999,16964
export JAVA_HOME=$,"Export variable ""JAVA_HOME"" as symlink resolved absolute path of two parent directories above ""/usr/bin/javac""",6572
ping ${ip} -I eth9 -c 1,"Send one ping request to host whose name or IP address is specified by variable ""ip"", using network interface eth9.",15367
find . -name '*.coffee' -exec awk '/re/ {print;exit}' {} \;,Search for first match of the regex 're' in all *.coffee files under current directory,21112
"echo ""myname=\""Test\"""" | sudo tee --append $CONFIG","Write '""myname=""Test""' to the console and append to ""$CONFIG"" as root",19952
"#!/bin/bash

directory=""/path/to/directory""

if [ -x ""$directory"" ]; then
    echo ""$directory exists and is executable by the group""
else
    echo ""$directory either does not exist or is not executable by the group""
fi",Check if a specific directory exists and is executable by the group.,15156
"ifconfig en0 | awk '$1 == ""inet"" {print $2}'",Gets IP address of 'en0' network interface.,13780
"find . -type f -print | sed -e 's/^/""/' -e 's/$/""/' | xargs chmod 644",Change permissions to 644 for all regular files in and below the current directory,868
"find $DIR/tmp/daily/ -type f -printf ""%p\n"" | sort -rn | head -n 2 | xargs -I{} cp {} $DIR/tmp/weekly/","Find all regular files under $DIR/tmp/daily/, sort them in reverse numerical order and copy the first two files to $DIR/tmp/weekly/",23857
"find . -type f \( -name ""*.dat"" \) -exec tail -n+5 -q ""$file"" {} + |tee concat.txt","Find ""*.dat"" files recursively in the current directory, print the lines starting on line 5 to the console and save to ""concat.txt""",21050
find -type d,display all directories in the current folder,403
find . -exec /bin/rm {} \;,Delete all files in the current directory.,4429
"/bin/true ""$""","Pass a single argument containing a string of numbers from 1 to 100000 to ""/bin/true""",3058
find . -maxdepth 1 -type d -print0 |,find all the directories in current folder and do not search in sub directories and create the same directory structure in another folder,22481
cat /etc/passwd -n | grep `whoami` | cut -f1,"Print line number of each line in /etc/passwd file, where current user name is found",7061
"mount -o remount,size=40G /dev/shm","Remount ""/dev/shm"" with a maximum size of ""40G""",16549
"find . -not -name ""*.exe"" -not -name ""*.dll"" -type f","Search the current directory tree for files whose names do not end in "".exe"" and "".dll""",14864
find . -empty -exec rm {}\;,delete all the empty files in the current directory,10391
mkdir -p ~/foo/bar/baz ~/foo/bar/bif ~/foo/boo/bang,"Create intermediate directories ~/foo/bar/ as required and directories baz, bif, bang",11348
"cal $m $y | sed -e '1,2d' -e 's/^/ /' -e ""s/ \/ $m\/\1/g""","Prints dates of $m month in $y year, preceded by month number and slash like ' 10/1'.",12213
find /home/bozo/projects -mtime 1,Search the /home/bozo/projects directory tree for files modified within the last 24 hours,3318
mkdir -p ./some/path,Create directorie 'some/path' as required in the current directory,12119
"subj=""$ - $ - $""","Save the current date, system host name, and ""$changes"" with newlines removed to variable ""subj""",7866
mkdir ~/public_html,create directory public_html into home directory,12127
find . -cmin -60,"find files in the current directory and sub-directories, that changed within last hour",6852
find . -mindepth 1 -mmin -60 | xargs -r ls -ld,"find all the files in the current folder which have been modified in the last 60 minutes, which are atleast 1 level deep and display a long listing of these files",17719
"find ./ -type f -name ""$2"" -exec sed -i ""s/$3/$4/g"" {} \;",Find files whose names match the pattern given by the 2nd argument $2 of the Bash script and replace string $3 with $4 in them,20423
find . -mtime 1,Find files/directories under current directory that are modified exactly one hour ago,22912
find .,Find all files/directories under current directory,6998
"find -maxdepth 1 -type f newermt ""$timestamp""'",display all the regular/normal files in the current folder which have been modified after a specific time stamp and do not search in the sub directories,23588
chown root:root it,change owner and group of the file it to user and group root,707
"echo ""[some repository]"" | sudo tee -a /etc/apt/sources.list","Write ""[some repository]"" to standard output and append to ""/etc/apt/sources.list"" as root",3492
find /home/user1 -name '*.txt' | xargs cp -av --target-directory=/home/backup/ --parents,"search for text files in the directory ""/home/user1"" and copy them to the directory /home/backup",15340
nl -nrz -w9  /etc/passwd,"Number each line in ""/etc/passwd"" as right-justified zero padded to a width of 9",4574
find . -type f -print0,display all normal/regular files in current directory,13248
"find . -type f -name ""*.mp3"" -exec rm -f {} \;",Find and remove multiple files such as *.mp3 or *.txt under current directory,15824
find . -type f \! -name '*.xml' -print0 | xargs -0 rename 's/$/.xml/',"Recursively search for all files not ending in "".xml"" under the current directory, append "".xml"" to the end of each file name",20401
"#!/bin/bash

your_string=""your string""

echo ""$your_string"" | tr '[:lower:]' '[:upper:]'",Convert a string to uppercase.,7055
"cd ""$(grep DOWNLOAD $HOME/.config/user-dirs.dirs | cut -f 2 -d ""="" | tr ""\"""" ""\n"")""",Change directory to the download directory specified in the current user's user-dirs.dirs file,5581
find -name test2,search for the file test2 in the current folder,3152
"cat files | sort -t- -k2,2 -n","Numberically sort content of file 'files', using for sorting part of second one of dash separated fields beginning from second letter.",6618
"cd ""$(find . -name Subscription.java -printf '%h\n')""","Search for Subscription.java under current directory, and go to directory containing it.",11992
TMPDIR=$,"Creates temporary directory with name formatted like .daemonXXXXXXX in /tmp/ folder, and saves path to it in 'TMPDIR' variable.",4023
find ./debian -type d | xargs chmod 755,Change permissions of all directories residing under and below ./debian to 755,20517
fgrep --include='STATUS.txt' -rl 'OPEN' | xargs -L 1 dirname,Recursively finds all 'STATUS.txt' files containing text 'OPEN' and prints containing folder of them.,2608
"find .  -name ""*.txt"" -type f -daystart -mtime -91 -mtime +2 | xargs cat | sort | uniq",sort and display the unique lines display the contents of all the files that have been modified in the last 91 days and not in the last 2 days,11631
"df -h $path | cut -f 1 -d "" "" | tail -1",Print name of the file system containing $path.,9119
find . -cmin -60,Find files in the current directory tree whose status was changed within the last 60 minutes,9183
sudo vim `which charm`,"Open ""charm"" executable file in vim",2430
find . -name '*~' | xargs rm,Find recursively all Emacs backup files in the current directory and remove them,16631
split /tmp/files,"Split ""/tmp/files"" into files of at most 1000 lines each",3816
"alias -g X2=""| cut -d' ' -f2""","set alias ""X2"" for command ""| cut -d' ' -f2""",18387
find . -user daniel -type f -name *.jpg,Find user daniel's files of type jpeg,22022
curl 'http://www.multitran.ru/c/m.exe?CL=1&s=hello&l1=1' | iconv -f windows-1251 | tr -dc '[:print:]',"Download ""http://www.multitran.ru/c/m.exe?CL=1&s=hello&l1=1"" and convert encoding to ""windows-1251"" and print only printable characters",836
VARIABLENAME=$,Format the time string @133986838 according to the default time format and save it to variable 'VARIABLENAME',13257
"#!/bin/bash

for ((i=0; i<6; i++)); do
    sensors | grep 'Core' >> cpu_temperature.log
    sleep 10
done",Monitor CPU temperature every 10 seconds for 1 minute and display the results.,20108
"find /path/to/dir/* -printf ""%T@|%p|%l"" -exec stat -Lc ""|%Y.0000000000"" {} \;",Find all files/directories under /path/to/dir/* paths and print the timestamp along with their paths and stat them,8625
echo $string | rev | cut -d ' ' -f -20,Revert $string value and print first 20 space-separated fields,1174
a=`w|cut -d' ' -f1`;,Saves list of logged in users in system together with 'USER' header in the 'a' variable.,18481
find / -user comp,Find all files owned by user `comp',8103
pwd | tr '/' '\n',Print working directory separated by newlines instead of forward slashes,16118
"#!/bin/bash

dir=""/path/to/directory""
prefix=""file""
count=$(ls ""$dir""/$prefix* 2>/dev/null | wc -l)
echo ""The number of files with prefix '$prefix' in the directory is: $count""",Create a script to find the number of files with a specific prefix in a directory.,8099
"#!/bin/bash

threshold=90
usage=$(df -h / | awk 'NR==2 {print $5}' | sed 's/%//')
if [ ""$usage"" -gt ""$threshold"" ]; then
    echo ""Disk usage exceeds $threshold%.""
    # Send alert here
fi",Create a script to monitor disk usage and send an alert if usage exceeds a certain threshold.,4952
"find ./ -maxdepth 1 -name ""some-dir"" -type d -print0 | xargs -0r mv -t x/","find all the directories with the name ""some-dir"" in the current folder and move them to another folder and do not search in subfolders",15195
"git ls-files | grep -vE """" | xargs wc -l",Counts the number of lines in each file but png|jpg|ico files in a git repository.,16635
find . -type f -exec grep -il 'foo' {} \;,"print all filenames of files under current dir containing 'foo', case-insensitive",24313
find .  -path '*/*config',find files which full path name like '*/*config' at current directory and print,18079
"find / -perm /u+rw,g+r,o+r","Find all files/directories in entire file system for which owner has at least read/write permissions, or the group has at least read permission, or others have at least read permission",7796
find . -type f -empty,display all the normal/regular files in the current folder which are empty,22720
"#!/bin/bash

str=""hello world""
vowel_count=$(echo ""$str"" | grep -o -i '[aeiou]' | wc -l)
echo ""The number of vowels in the string is: $vowel_count""",Create a script to count the number of vowels in a given string.,3408
"read -p ""Enter your choice: "" choice","Read a line from standard input with prompt ""Enter your choice: "" and save response to variable ""choice""",18837
tr -s ' ' | cut -d ' ' -f 2,Print the second space separated fields from standard input,15785
chgrp -R repogroup .,Recursively changes group ownership of everything within a current directory to 'repogroup'.,8964
"curl -L -C - -b ""oraclelicense=accept-securebackup-cookie"" -O http://download.oracle.com/otn-pub/java/jce/8/jce_policy-8.zip","download a file ""http://download.oracle.com/otn-pub/java/jce/8/jce_policy-8.zip"" using cookies ""oraclelicense=accept-securebackup-cookie""",1998
"find /mnt/zip -name ""*prefs copy"" -print0 | xargs -0 -p /bin/rm","Remove files under /mnt/zip matching ""*prets copy"" with confirmation",21352
find . -type f | sed -e 's/.*\.//' | sed -e 's/.*\///' | sort | uniq -c | sort -rn,Count the number of unique file extensions in the current directory tree,20580
find -name '.?*' -prune -o \,Find recursively all regular files in the current directory skipping hidden files and directories matching pattern '.?*',5630
readlink `pwd`,Print true directory name of the current directory,4003
find mydir -mindepth 2 -type d,Find all directories under minimum 2 levels down the mydir directory,19948
"find . -type f -name ""*.txt"" -exec rm -f {} \;",delete all the text files in the current folder.,4754
find . -type f -exec cat {} \; -print,Print content of each file under the current directory followed by that file name,23349
comm -12 < <,Find all files/directories 1 level down the current directory that are enlisted in file 1,16957
file ascii.txt,Display human-readable file type description of ascii.txt,3682
find . -perm /a=x | head,find all the files in the current folder which have executable permission to all the users and display the ten files,7449
timestamp=`date --rfc-3339=seconds`,Represent current date in RFC 3339 format with precision to seconds and save it to 'timestamp' variable,18088
"#!/bin/bash

threshold=2
load_average=$(uptime | awk '{print $10}' | tr -d ',')
if [ ""$load_average"" -gt ""$threshold"" ]; then
    echo ""System CPU load average exceeds $threshold.""
    # Send alert here
fi",Create a script to monitor system CPU load average and send an alert if it exceeds a certain threshold.,13136
set -e,Exit the shell immediately if an error is encountered,3986
find xargstest/ -name 'file??',Search the xargstest/ directory recursively for files matching pattern 'file??',20868
find /proc -type d | egrep -v '/proc/[0-9]*($|/)' | less,"Print the /proc directory tree, ignoring the PID-process things",9206
find . | xargs -n 1 echo,Execute `echo' for each file found,18820
ln -sn git-stuff/home/profile .profile,"Create a symbolic link named "".profile"" to ""git-stuff/home/profile"" without dereferencing "".profile""",4278
"find . -name ""somefiles-*-.txt"" -type f","find all the text files in the current folder starting with ""somefiles-""",3667
"find . -regextype sed -regex ""./test[0-9]\{2\}.txt""",Find all files/directories under current directory tree whose names start with 'test' followed by two digits and end with '.txt' extension,8413
"find . -name ""pattern"" | xargs git diff --","Find files in the current directory tree that match ""pattern"" and run ""git diff"" on them",17915
ssh-copy-id myname@somehost,"Copy default SSH public key to ""somehost"" as user ""myname""",6521
shopt -s nocaseglob,Enables shell option 'nocaseglob'.,22556
"rsync -auve ""ssh -p 2222"" . me@localhost:/some/path","Archive current directory to ""/some/path"" on localhost, using ssh to authentify as user ""me"", only update files that are newer in the source directory.",17608
"ln -f '/home/user/Musik/mix-2012-13/aesthesys~ I Am Free, That Is Why I'""'""'m Lost..mp3' '/home/user/Musik/youtube converted/aesthesys~ I Am Free, That Is Why I'""'""'m Lost..mp3'","Force create a hard link named '/home/user/Musik/youtube converted/aesthesys~ I Am Free, That Is Why I'""'""'m Lost..mp3' with target '/home/user/Musik/mix-2012-13/aesthesys~ I Am Free, That Is Why I'""'""'m Lost..mp3'",15465
comm < <,"Compare sorted files 'f1.txt' and 'f2.txt' and print in three columns strings unique for first file, second file, and common ones",11832
find | perl -lne 'print quotemeta' | xargs ls -d,List all files/directories under current directory,16929
find . -name '*bills*' -print,"display all the files in the current folder which have the word ""bills"" in their name",1205
find . -name '*.html' -print0 | xargs -0 perl -pi -e 's/oldstring/newstring/g',find all the html files in current folder and replace old string with new string,2884
kill %1,Send SIGTERM signal to first process sent to background by the current shell.,8614
{ time sleep 1 2> sleep.stderr ; } 2> time.txt,"Reports time consumed by command 'sleep 1' to the file time.txt together, and saves command error output to sleep.stderr.",9258
find ~ -name '*.txt' -print0 | xargs -0 cat,Print out the contents of all *.txt files in the home directory,7243
"find . -mtime +2 | perl -pe 's{^}{\""};s{$}{\""}' > ~/output.file",Find all files/directories that were modified more than 2 days ago and redirect the list to ~/output.file,2638
find dir2 ! -type d |xargs wc -c,Get the sizes  of all files under dir2 directory,22441
find ./ -size +5M -type f | xargs -r ls -Ssh,Find all files in the current directory tree with size bigger than 5 MB and sort them by size,23743
rsync -e ssh file host:/directory/.,"Copy local file ""file"" via ssh to remote ""host"" path ""/directory/""",878
"find . -name ""*.php"" -print","Find all files recursively which end in "".php""",24262
"find . -name ""*.html""",find all the html files in the current folder,4380
find /opt -mtime +30 -mtime -50,find all the files in the folder /opt which have been modified between 20 to 50 days ago,11958
yes 0 | sed '1~2s/0/1/',"Infinitely print ""1"" then ""0""",3909
"#!/bin/bash

date1=""2023-01-01""
date2=""2024-01-01""
seconds_diff=$(($(date -d ""$date2"" +%s) - $(date -d ""$date1"" +%s)))
days_diff=$((seconds_diff / 86400))
echo ""The difference between the dates is: $days_diff days""",Create a script to find the difference between two dates.,10764
cat file | fold -s -w29,"Print 'file' content, formatting output as 29-symbol wide column, regarding space symbol as a word separator",7689
"find . -name ""*.sh"" | xargs grep ""ksh""","Search the .sh files in the current directory tree for string ""ksh""",22859
"touch -m --date=""Wed Jun 12 14:00:00 IDT 2013"" filename",Set the modification timestamp of file 'filename' to specified date/time.,8076
mkdir -p foo,create directory foo,14636
comm -3 <(sort -un f1) <(sort -un f2) | tr -d '\t',"List any line in ""f1"" or ""f2"" which does not appear in the other and delete all tab characters in the output",13162
split -n 100000 /usr/bin/gcc,split file /usr/bin/gcc into pieces per 100000 lines,6480
"me=`basename ""$0""`","Set the variable ""me"" to the name of the running script.",4712
sort -o $file $file,"Sort ""$file"" and output the result to ""$file""",22591
"find . -name ""*.txt"" -exec echo {} \; -exec grep banana {} \;",Use multiple -exec command in find . Find all .txt files & grep banna in .txt files .,12477
"#!/bin/bash

dir_to_backup=""/path/to/source""
backup_name=""backup_$(date +""%Y%m%d"").tar.gz.gpg""

tar czf - $dir_to_backup | gpg -c > $backup_name",Create a compressed tarball of a directory and encrypt it with GPG.,990
find . -name '*.php' -o -name '*.inc' | xargs wc -l,Counts the number of lines in *.php and *.inc files in a current folder and subfolders.,2683
"find . -type f -print0 | xargs -0 stat -f ""%m %N"" | sort -rn | head -1 | cut -f2- -d"" """,Recursively finds latest modified file in a directory,9703
env | grep '^\(GO\|HOME=\|PATH=\)',"List all environment variables (name and value) whose name either equals HOME or PATH, or starts with GO",17393
"find -path ""*/test/*"" -delete","Remove all directories called ""test"" from the current directory tree",18500
"mv ""$"" dir2","Rename absolute path of symbolic link ""dirln"" to ""dir2""",11197
find MyApp.app -name Headers -type d -delete,Search directory tree `MyApp.app' for directories whose name is 'Headers' and delete them,7788
"#!/bin/bash

sum=0
while read -r -n1 char; do
    if [[ ""$char"" =~ [0-9] ]]; then
        sum=$((sum + char))
    fi
done < textfile.txt
echo ""The sum of digits in the file is: $sum""",Create a script to find the sum of all digits in a text file.,16100
"#!/bin/bash

ls -l --time-style=long-iso /path/to/your/directory | awk '{print $5, $6, $7, $8, $9}' | sort -k 4",Print the list of files in a directory with their sizes and last access times sorted by last access time.,3824
cat ips | xargs -i% ping -c 2 %,"Ping all hosts in file ""ips"" twice",8447
cat *.txt | wc -l,"Count the number of lines in all "".txt"" files",18915
find images/ -type f,Search the `images' directory tree for regular files,5160
find . -type d -delete,find all the directories in current folder and delete them,22354
"finger -l | grep ""Name:"" | tr -s ' ' | cut -d "" "" -f 2,4- | sort | uniq",Print each logged in user's username and full name,17144
find /etc/. ! -name . -prune,Print the list of files and directories of the /etc directory,655
find / -readable,find all readable files,5813
echo $(date) doing stuff,Print the current date followed by ' doing stuff',2893
find /usr/src -not \ '{}' \; -print,"Print all filenames in /usr/src except for those that are of the form '*,v' or '.*,v'",16180
find /path -nouser -or -nogroup,Search the /path directory tree for files that do not have a valid user or group,22969
"tac file | sed -e '/./,$!d' | tac | sed -e '/./,$!d'",Removes trailing and starting newlines from file,5637
"find /mydir -type f -name ""*.txt"" -execdir chown root {} ';'","Recursively change the owner of all ""*.txt"" files under ""/mydir"" to ""root""",9613
gunzip *.gz,"Unzip every "".gz"" file in the current directory",3045
"rsync --recursive --exclude 'foo' * ""$other""","Recursively copy all (non-hidden) files and directories in current dir except ""foo"" to location specified by variable ""other""",24416
"read -p ""Password: "" -s SSHPASS","Read a line from standard input into variable ""SSHPASS"" with prompt ""Password: "" and without echoing the input",8446
"find -name ""*.js"" -not -path ""./directory/*""",Find all files/directories with '.js' extension under current directory tree excluding paths that contain the directory './directory',19786
"sed 's/,,/, ,/g;s/,,/, ,/g' data.csv | column -s, -t","Replace "",,"" with "", ,"" twice in ""data.csv"" and display the "","" delimited result as a table",6160
"find . -type f -name ""*.htm*"" -o -name ""*.js*"" -o -name ""*.txt""","find all the html, javascript and text files in the current folder",13516
"REL_DIR=""$(ssh -t localhost ""$heredoc"")""","SSH into ""localhost"" with forced pseudo-terminal allocation, execute ""$heredoc"", and save the output to variable ""REL_DIR""",12570
"find /etc -maxdepth 1 -name ""*.conf"" | tail",Find *.conf files/directories only upto 1 level down under /etc directory and show a few lines of output from the end,6023
mkdir -p ${raw_folder} ${split_folder},"Make directories and parents as needed to ""${raw_folder}"" and ""${split_folder}""",5093
find . -name core -ctime +4 -exec /bin/rm -f {} \;,"remove all the ""core"" files in the current folder which have not been changed in the last 4 days.",13570
ssh -O check officefirewall,"Check that the master ssh connection ""officefirewall"" is running",11212
find | xargs,Find all files/directories under current directory,11222
find . type -f -mtime 2,Search the current directory recursively for regular files modified 2 days ago,23695
find . /home/admin/public_html/ -type f -exec chmod 644 {} \;,"Find all regular files under and below /home/admin/public_html/, and change their permissions to 644",22372
"#!/bin/bash

length=5
width=10
perimeter=$((2 * (length + width)))
echo ""The perimeter of the rectangle is: $perimeter""",Create a script to calculate the perimeter of a rectangle given its length and width.,20594
"find -name ""* *"" -type d | rename 's/ /_/g'",Replace all spaces with underscores in directory paths under current directory.,17516
find test -type f,Find all regular files under test directory,3660
dig +short myip.opendns.com @resolver1.opendns.com,Request IP address of 'myip.opendns.com' from name server 'resolver1.opendns.com',3327
chown --reference=oldfile newfile,"Copy the owner and group of ""oldfile"" to ""newfile""",9466
pwd | awk -F/ '{print $NF}',Prints current directory name,15034
find . -name \*.plist,Find all *.plist files/directories under current directory,2664
"find -type f -exec grep -l ""texthere"" {} +","List the regular files of the current directory tree that contain string ""texthere""",20941
find . -type d -print0 | xargs -0 chmod go+rx,Find all directories under current directory and set read & execute permission for group and other for these files,11674
crontab -l | sed -re '/# *change-enabled *$/s/^ [^ ]+/\1 7/' | crontab -,"For every cron job with a comment ""change-enabled"" at the end of its crontab entry, change the scheduled hour to 7.",24536
find . \ -print0 | xargs -0 wc,count lines of C or C++ or Obj-C or Java code under the current directory,1928
man find,display the manual page of find,19650
"awk -F, 'NR==1 {gsub(/""/,"""",$3);print $3}' ""$(dirname $(readlink -f $(which erl)))/../releases/RELEASES""","Find the ""erl"" executable in $PATH and read the ""RELEASES"" file to extract the erlang release number",14133
chmod -R +xr directory,"Recursively add read and execute permissions to all files and folders in ""directory""",23027
find ./ -type d -print,Print the list of all directories under the current directory and below,2881
"find . -name ""*.htm"" -exec mv '{}' '{}l' \;","renames all "".htm"" files to "".html"" files",13563
find . -type d -name 'uploads',"find all the directories with the name ""uploads"" in current folder",9495
"find /dir/to/search/ -name "".*"" -ls","display list of all the hidden files in the directory ""/dir/to/search/""",18838
find /home -type f -perm 0777 -print,search for all the regular files in the folder /home which have the permission 077,20771
find / ! -newer /tmp/timestamp -exec touch {} \;,Update timestamps of all files in entire filesystem which are not newer than /tmp/timestamp,21872
"find /tmp -name ""*.tmp"" | xargs rm",delete all the tmp files  in the /tmp folder,16196
cat myfile,"Display the contents of ""myfile"" located in the current directory.",4621
find ~/ -name '*.txt',find all the text files in the home directory,943
file_changed=$(find . -depth \( -wholename \./\.\* \) -prune -o -mtime -1 -print | cpio -oav),Find all files in current directory that were modified less than 1 day ago excluding hidden files  and archive them and put the output into the variable file_changed,23321
hostname=`hostname -s`,"Save the short system host name to variable ""hostname""",22483
"find -name ""filename""","Find all files named ""filename""",16578
find $directory -type -f -execdir zip -j $ZipFileName {}\;,create a zip file of all the files in some directory,16523
"find . -type f \( -name ""*.pas"" -o -name ""*.dfm"" \) -print0 | xargs --null grep --with-filename --line-number --no-messages --color --ignore-case ""searchtext""","Recursively finds all ""*.pas"" and ""*.dfm"" files and prints strings with ""searchtext"" ignoring text distinctions, suppressing error messages, highlighting found patterns and preceding each found string with file name and string number.",8369
find / -perm +2000,Find SGID files,8628
find . -name \*.py -print,Find all *.py files/directories under current directory,16693
find ~ -type f -mmin -90,Find all regular files in and below the home directory that have been modified in the last 90 minutes,17950
find . -name *.jpg,Find all *.jpg files under current directory,12157
find . -name omit-directory -prune -o -type f,Search the current directory tree for regular files omitting directory `omit-directory',6728
find . -name .svn -delete,Recursively delete all files/folders named '.svn' in a current folder.,22214
"#!/bin/bash

threshold=80
gpu_utilization=$(nvidia-smi --query-gpu=utilization.gpu --format=csv,noheader | tr -d ' %')
if [ ""$gpu_utilization"" -gt ""$threshold"" ]; then
    echo ""System GPU utilization exceeds $threshold%.""
    # Send alert here
fi",Create a script to monitor system GPU utilization and send an alert if it exceeds a certain threshold.,23054
"find . -name ""*.txt"" -exec rm {} \;",Remove all .txt files in and below the current directory,12818
find . -type f,display all the regular/normal files in the current directory,19000
"find / -perm 777 -iname ""filename""","find all files in the file system with the permissions 777 and having the word ""filename"" in their name.",23163
"find / -type f -size +20M -exec ls -lh {} \; | awk '{ print $NF "": "" $5 }'",Search for files greater than 20MB in the entire file system and display the path and file size,2624
df -i,Report file systems inode usage.,8535
"find / -type f -iname ""filename""","Search the system for regular files whose names are ""filename"" ignoring the case",16616
find /  -size +100M -exec rm -rf {} \;,Search  all files & directoy from root directory which  are greater then 100M and delete them .,8372
find parent -name dir*,Find all dir* files/directories under parent,17996
"find . -name ""*.trc"" -ctime +3 -exec rm {} \;","Search the current directory tree for the files with extension ""trc"" and remove them if they are more than three days old",738
HOSTZ=$,"Save the first ""."" separated field of the system host name to variable ""HOSTZ""",18493
script -q /dev/null ./a | tee output.txt,"Print output of 'script -q /dev/null ./a' to standard output and ""output.txt""",19825
basename /path/to/dir/filename.txt .txt,"Output the specified path removing all containing directories and the .txt suffix, in this case ""filename"".",14058
"find . -type f -name ""*.txt"" -exec rm -f {} \;",Fiind and remove multiple files such as *.mp3 or *.txt,14880
find ~ -iname '*.jpg' -exec ls {} \;,display a long list of all the jpg files in the home folder,14250
basename /usr/local/svn/repos/example,"Display the last slash-separated part of path, in this case ""example"".",22685
"find . -name ""*.txt"" -print0 |xargs -0 du -ch | tail -n1",Get the disk space used by all *.txt (case insensitive) files/directories under current directory,18807
cd $,"Change directory to the output of command '~/marker.sh go ""$@""'",9514
"echo -e ""ONBOOT=\""YES\""\nIPADDR=10.42.84.168\nPREFIX=24"" | sudo tee -a /etc/sysconfig/network-scripts/ifcfg-eth4","Print multiline text ""ONBOOT=\""YES\""\nIPADDR=10.42.84.168\nPREFIX=24"" to the terminal, replacing '\n' with newline symbol, and append that text to file /etc/sysconfig/network-scripts/ifcfg-eth4 as root user.",10188
find . -type f | wc -l,count all the regular files that are present in a directory,6496
"echo ""$1"" | od -xcb","Print a 2 byte hexadecimal value, printable character, and octal value of ""$1""",756
"mount -v | grep "" on / """,Print information of the root mount point,23819
sudo mkdir /var/svn,"Make directory ""/var/svn""",18383
mv /path/subfolder/.* /path/,"Move all hidden files in ""/path/subfolder/"" to ""/path/""",15803
split -n2 infile,"Split ""infile"" into 2 files of about equal size",21427
find /path/to/look/in/ -type d -name '.texturedata',Find all directories named '.texturedata' under '/path/to/look/in/' directory tree,20353
"#!/bin/bash

threshold=200

while true; do
    nvidia-smi --query-gpu=power.draw --format=csv,noheader | awk '$1 > ""$threshold"" {print ""High GPU power consumption: ""$1"" W""}'
    sleep 60

done",Create a script that monitors system GPU power consumption and alerts if it exceeds a certain threshold.,6201
find /path -perm -022,Find all files under /path and below writable by `group' and `other',16454
find . -mtime 1,Find files and directories modified in last 24 hours,8085
scp -Bpqr /tdggendska10/vig-preview-dmz-prod/docs/sbo/pdf/*ela*L1*TE* dalvarado@localhost:/var/www/html/sbo/2010/teacher/ela/level1,"Recursively copy all files and directories matching ""*ela*L1*TE*"" in localhost's directory /tdggendska10/vig-preview-dmz-prod/docs/sbo/pdf/ to /var/www/html/sbo/2010/teacher/ela/level1 on localhost connecting as ssh user ""dalvarado"", in batch mode  preserving file permissions and timestamps, and without displaying progress information.",15048
"gnuplotscript=$(mktemp /tmp/gnuplot_cmd_$(basename ""${0}"").XXXXXX.gnuplot)","Creates temporary file with file name formatted like /tmp/gnuplot_cmd_$(basename ""${0}"").XXXXXX.gnuplot and saves path to it in a variable 'gnuplotscript'.",18206
find ~ -type f -name test-a -execdir mv {} test-10 \;,"find all the files in the current folder with the name ""test-a"" and move them to the folder test-10. execdir runs the command in the directory where the file is found.",5683
find ~ -type f -mtime 0 -iname '*.mp3',Find all MP3 files in the home directory tree that were modified in the last 24 hours,23558
"grep -ioh ""facebook\|xing\|linkedin\|googleplus"" access-log.txt | sort | uniq -c | sort -n","Search for ""facebook\|xing\|linkedin\|googleplus"" in ""access-log.txt"" and print a count of the unique entries",15654
"rm -rf `find . -type d -name "".svn""`",Delete all .svn subdirectories under current directory,24523
find -amin +25 -amin -35,Find all files/directories under current directory that were accessed more than 25 but less than 35 minutes ago,7558
extract_dir=$(tar -tf $FILE | cut -d/ -f1 | uniq),"Set variable ""extract_dir"" to list of top-level directories and files contained in tar archive specified by variable FILE.",8570
